,Energy,dEnergy,Data,dData,EXFOR_Entry,Year,Author,Dataset_Number,MT,dData_assumed,endf7-1,endf7-1_chi_squared,endf7-1_relative_error,endf8,endf8_chi_squared,endf8_relative_error
1513176,10.0,nan,0.3,0.2,11180002,1953,C.T.Hibdon,11180002,1,0.2,1.00227455,2.4659477178885125,-70.0680816448946,1.00227494,2.4659504567600172,-70.06809329184665
1513177,20.0,nan,0.3,0.2,11180002,1953,C.T.Hibdon,11180002,1,0.2,1.00504221,2.4854225894084205,-70.15050741003206,1.0050425,2.4854246340312502,-70.15051602295425
1513178,126.0,nan,0.25,0.2,11180002,1953,C.T.Hibdon,11180002,1,0.2,1.0315163292,3.053838864031214,-75.76383495607003,1.0315163824,3.053839279797915,-75.76383620603949
1513179,345.0,nan,0.66,0.2,11180002,1953,C.T.Hibdon,11180002,1,0.2,1.0385346073333335,0.7164422447450047,-36.448916065041345,1.0385347273333334,0.7164426989866052,-36.44892340820462
1513059,1000.0,nan,1.0,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08031844461120297,1.06016606,0.04507003084343449,-5.675154324408387,1.06016607,0.04507004582531441,-5.675155214126025
1513060,1000.0,nan,1.08,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08674392018009922,1.06016606,0.004535017268148003,1.8708333296389483,1.06016607,0.0045350126951624065,1.8708323687438997
1513061,1000.0,nan,1.23,nan,11002003,1954,C.T.Hibdon,11002003,1,0.09879168687177965,1.06016606,0.29196350512122793,16.01956018097768,1.06016607,0.29196347073899614,16.019559086624987
1513062,1150.0,nan,1.03,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08272799794953906,1.060192434,0.011019039423634828,-2.8478258315886014,1.060192506,0.01101909197797901,-2.847832429405976
1513063,1150.0,nan,1.2,nan,11002003,1954,C.T.Hibdon,11002003,1,0.09638213353344356,1.060192434,0.20279853531217018,13.186999031158903,1.060192506,0.2027983264323335,13.18699134438138
1513064,1250.0,nan,1.05,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08433436684176311,1.06018601,0.0012302789907081993,-0.9607757416078305,1.06018617,0.0012303176410108025,-0.9607906882995734
1513066,1400.0,nan,1.2,nan,11002003,1954,C.T.Hibdon,11002003,1,0.09638213353344356,1.060177616,0.20284152623224186,13.188581034897071,1.0601776920000001,0.20284130572460388,13.188572920849555
1513065,1400.0,nan,1.08,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08674392018009922,1.060177616,0.0045297342641150585,1.8697229314073753,1.0601776920000001,0.004529699529731501,1.8697156287646122
1513067,1500.0,nan,1.0,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08031844461120297,1.06017202,0.045078960485439745,-5.67568459314744,1.06017204,0.0450789904521706,-5.67568637256271
1513068,1640.0,nan,1.15,nan,11002003,1954,C.T.Hibdon,11002003,1,0.0923662113028834,1.0601664088,0.08737041385648751,8.473536838587664,1.0601664512,0.0873703313816667,8.47353250032743
1513069,1650.0,nan,1.07,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08594073573398718,1.060166008,0.0011252800878433875,0.9275898232722931,1.060166052,0.0011252700182372301,0.927585634481346
1513070,1750.0,nan,1.3,nan,11002003,1954,C.T.Hibdon,11002003,1,0.10441397799456385,1.060162,0.5509058015871668,22.62276897304374,1.06016206,0.5509055259482449,22.622762033193318
1513071,1850.0,nan,1.05,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08433436684176311,1.060158136,0.0012235548905952934,-0.9581717722156913,1.060158172,0.0012235635630631467,-0.9581751353985611
1513072,2000.0,nan,1.0,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08031844461120297,1.06015234,0.04504947804941559,-5.673933615993332,1.06015234,0.04504947804941559,-5.673933615993332
1513073,2500.0,nan,1.15,nan,11002003,1954,C.T.Hibdon,11002003,1,0.0923662113028834,1.0601366,0.08742840640155039,8.47658688512403,1.060136598888889,0.08742840856355812,8.476586998816503
1513180,2800.0,nan,0.51,0.2,11180002,1953,C.T.Hibdon,11180002,1,0.2,1.0601282113333332,1.5132052445240625,-51.89261123816635,1.060128138,1.5132048410967354,-51.89260791038451
1513074,3000.0,nan,1.06,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08513755128787515,1.0601230566666666,1.77864443856078e-07,-0.011607771936730751,1.0601224900000001,1.762301108389744e-07,-0.011554325198787747
1513075,3500.0,nan,1.3,nan,11002003,1954,C.T.Hibdon,11002003,1,0.10441397799456385,1.06011017,0.551143933434133,22.628764140617584,1.06011022,0.5511437036853866,22.628758356843303
1513076,4000.0,nan,1.25,nan,11002003,1954,C.T.Hibdon,11002003,1,0.10039805576400371,1.0600989766666666,0.3591941934395196,17.91351821982233,1.06009877,0.35919497525212635,17.91354120710847
1513077,4500.0,nan,1.02,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08192481350342702,1.0600886533333334,0.019616768807327843,-3.7816321500356533,1.0600887166666668,0.019616830789771174,-3.781637898450744
1513078,5000.0,nan,1.07,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08594073573398718,1.0600792,0.0011452342337939256,0.9358546040710874,1.06007931,0.0011452088376429465,0.9358441303792594
1513079,5500.0,nan,1.0,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08031844461120297,1.0600704,0.04492682812307219,-5.666642517327158,1.0600700622435164,0.04492632290636549,-5.6666124611032815
1513080,6000.0,nan,1.05,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08433436684176311,1.0600616,0.0012004097303528604,-0.9491523888800427,1.060061038,0.0012002756341002725,-0.9490998762657958
1513081,6600.0,nan,1.0,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08031844461120297,1.060051558,0.044898648569252464,-5.664965778956957,1.0600515964,0.044898705990198955,-5.664969196210714
1513082,7000.0,nan,0.9800000000000001,nan,11002003,1954,C.T.Hibdon,11002003,1,0.07871207571897891,1.06004511,0.08140071998339096,-7.551104122351908,1.0600451579999999,0.08140081760923541,-7.551108308538662
1513083,7600.0,nan,1.05,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08433436684176311,1.060035534,0.0011941981239287946,-0.9467167541196796,1.0600354779999999,0.0011941847963054548,-0.9467115212911601
1513084,8000.0,nan,1.06,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08513755128787515,1.06002947,1.0200914718059559e-08,-0.0027801113868904876,1.06002895,9.844099193801056e-09,-0.0027310574866768068
1513085,8600.0,nan,1.01,nan,11002003,1954,C.T.Hibdon,11002003,1,0.081121629057315,1.060020374,0.03084304203669419,-4.7188125084093935,1.0600203019999999,0.030842953244977673,-4.718806036603613
1513086,9000.0,nan,1.07,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08594073573398718,1.060014078,0.0011603186467793846,0.9420556016426826,1.06001411,0.0011603112102828478,0.9420525543759085
1513087,9600.0,nan,1.04,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08353118239565109,1.0600044252,0.004790750185804026,-1.8872020459938743,1.060004438,0.004790756316609699,-1.8872032307472242
1513088,10000.0,nan,1.07,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08594073573398718,1.05999799,0.0011640603630594353,0.9435876383124089,1.05999799,0.0011640603630594353,0.9435876383124089
1513041,10000.0,1000.0,1.0,0.3,41317003,1956,G.V.Gorlov,41317003,1,0.3,1.05999799,0.011999196013467023,-5.660198468866913,1.05999799,0.011999196013467023,-5.660198468866913
1512326,10000.0,nan,1.1,0.03,11163007,1968,C.T.Hibdon,11163007,1,0.03,1.05999799,0.05333869346800342,3.7737816842464045,1.05999799,0.05333869346800342,3.7737816842464045
1513089,10500.0,nan,1.11,nan,11002003,1954,C.T.Hibdon,11002003,1,0.0891534735184353,1.0596219500000001,0.028467179366575033,4.754341866927157,1.059621978,0.028467147722603215,4.75433909884418
1513090,11000.0,nan,1.03,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08272799794953906,1.05924591,0.010338981637749942,-2.761012312995382,1.059245966,0.010339021231903498,-2.7610174538063763
1513091,12000.0,nan,1.03,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08272799794953906,1.0584927320000002,0.009813313472411366,-2.691821222632649,1.058492766,0.009813336892619469,-2.6918243482827973
1512327,12000.0,nan,1.07,0.03,11163007,1968,C.T.Hibdon,11163007,1,0.03,1.0584927320000002,0.004413907227460726,1.0871371764884166,1.058492766,0.004413881144358516,1.0871339294537963
1513092,13000.0,nan,1.06,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08513755128787515,1.057739884,5.999848781395921e-05,0.21367408322101036,1.057739902,5.999753213869634e-05,0.21367237784322934
1513093,14000.0,nan,1.08,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08674392018009922,1.056987732,0.006104917525105312,2.1771556379804795,1.056987766,0.006104899485419519,2.17715235126005
1512328,14000.0,nan,1.03,0.03,11163007,1968,C.T.Hibdon,11163007,1,0.03,1.056987732,0.02427792261679421,-2.55326823414825,1.056987766,0.024277983789025143,-2.5532713687056967
1513094,15000.0,nan,1.09,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08754710462621124,1.05623558,0.013021973288595534,3.1966751205256703,1.05623563,0.013021934721477764,3.196670235409508
1513095,16000.0,nan,1.1,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08835028907232327,1.055484324,0.02242941625369004,4.217559179969409,1.055484382,0.02242935780662554,4.217553453102648
1512329,16000.0,nan,1.06,0.03,11163007,1968,C.T.Hibdon,11163007,1,0.03,1.055484324,0.0006797109912325405,0.4278297552432454,1.055484382,0.0006796935307308332,0.4278242366261854
1513096,17000.0,nan,1.03,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08272799794953906,1.054733068,0.007394409001239838,-2.344959947723946,1.054733134,0.007394448465138499,-2.3449660584949332
1513097,18000.0,nan,0.96,nan,11002003,1954,C.T.Hibdon,11002003,1,0.07710570682675484,1.05398211,0.11455231219003978,-8.916860078393551,1.053982166,0.11455244870392291,-8.916864917807347
1512330,18000.0,nan,1.08,0.03,11163007,1968,C.T.Hibdon,11163007,1,0.03,1.05398211,0.022564353335070175,2.468532411807265,1.053982166,0.022564256201718758,2.4685269674667465
1513098,19000.0,nan,1.08,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08674392018009922,1.05323145,0.008260582039810763,2.5415638699357217,1.053231478,0.008260564758622434,2.541561143883701
1512331,20000.0,nan,0.97,0.02,11163007,1968,C.T.Hibdon,11163007,1,0.02,1.05248079,0.34015403595120475,-7.836797667347446,1.05248079,0.34015403595120475,-7.836797667347446
1513099,20000.0,nan,1.1,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08835028907232327,1.05248079,0.025558210875525945,4.5149717174410515,1.05248079,0.025558210875525945,4.5149717174410515
1513042,20000.0,2000.0,1.2,0.2,41317003,1956,G.V.Gorlov,41317003,1,0.2,1.05248079,0.10880958659512052,14.016332782662952,1.05248079,0.10880958659512052,14.016332782662952
1513100,21000.0,nan,1.19,nan,11002003,1954,C.T.Hibdon,11002003,1,0.09557894908733153,1.0517307606666666,0.2000271265626696,13.146828494936083,1.0517306763660308,0.20002737046969,13.146837564130124
1513101,22000.0,nan,1.05,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08433436684176311,1.0509807313333333,1.1405005861800354e-05,-0.09331582436235496,1.0509805627320616,1.1401084842578753e-05,-0.09329979704977494
1512332,22000.0,nan,1.04,0.02,11163007,1968,C.T.Hibdon,11163007,1,0.02,1.0509807313333333,0.006028823030742292,-1.044808054606524,1.0509805627320616,0.006028637895637011,-1.044792179935016
1513102,23000.0,nan,1.14,nan,11002003,1954,C.T.Hibdon,11002003,1,0.09156302685677137,1.0502307020000001,0.08801070847099034,8.54757891090483,1.0502304490980925,0.0880112043667568,8.547605049824913
1513103,24000.0,nan,1.0,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08031844461120297,1.049480706,0.030482914330700762,-4.714779958994309,1.0494805823870659,0.030482762025769064,-4.7147687358370405
1512333,24000.0,nan,1.06,0.02,11163007,1968,C.T.Hibdon,11163007,1,0.02,1.049480706,0.005532777312921872,1.0023332434660372,1.0494805823870659,0.005532907345765491,1.0023451400127423
1513104,25000.0,nan,1.05,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08433436684176311,1.0487308100000001,1.9100674095558558e-05,0.12102152314948389,1.0487308329838325,1.9099982311480514e-05,0.12101932891173926
1512334,26000.0,nan,1.08,0.02,11163007,1968,C.T.Hibdon,11163007,1,0.02,1.047980914,0.051261093413769894,3.055311940537882,1.047981083580599,0.05126055043362977,3.0552952644911553
1513105,26000.0,nan,0.942,nan,11002003,1954,C.T.Hibdon,11002003,1,0.0756599748237532,1.047980914,0.14845305141112974,-10.112866807419747,1.047981083580599,0.14845352649247331,-10.112881352638281
1513106,27000.0,nan,1.049,nan,11002003,1954,C.T.Hibdon,11002003,1,0.0842540483971519,1.047231018,3.714121013595937e-05,0.1689199393060734,1.0472311805521932,3.713438461961203e-05,0.1689043909935946
1513107,28000.0,nan,1.04,nan,11002003,1954,C.T.Hibdon,11002003,1,0.08353118239565109,1.0464813746666668,0.0005029046203456682,-0.619349261589224,1.0464813806666666,0.0005029055514534003,-0.6193498313880743
